요구사항ID,요구사항명,하위 요구사항ID,하위 요구사항명,상세 설명
REQ-ADM-001,관리자 인증 및 세션 관리,REQ-ADM-001-01,관리자 로그인,이메일과 비밀번호로 관리자 계정에 로그인하여 JWT 토큰을 발급받는다. 로그인 실패 시 에러 메시지를 표시한다.
REQ-ADM-001,관리자 인증 및 세션 관리,REQ-ADM-001-02,JWT 토큰 자동 갱신,AuthInterceptor를 통해 HTTP 401 응답을 감지하고 refreshToken으로 accessToken을 자동 갱신한다.
REQ-ADM-001,관리자 인증 및 세션 관리,REQ-ADM-001-03,토큰 갱신 재시도,토큰 갱신 성공 시 원본 API 요청을 새로운 accessToken으로 자동 재시도한다.
REQ-ADM-001,관리자 인증 및 세션 관리,REQ-ADM-001-04,리프레시 토큰 만료 처리,refreshToken이 만료되거나 없을 경우 자동으로 로그인 화면으로 리다이렉트한다.
REQ-ADM-001,관리자 인증 및 세션 관리,REQ-ADM-001-05,로컬 세션 복원,앱 시작 시 LocalStorageService를 통해 저장된 토큰으로 세션을 복원한다.
REQ-ADM-001,관리자 인증 및 세션 관리,REQ-ADM-001-06,로그아웃,현재 세션을 종료하고 로컬 저장된 모든 토큰을 삭제한다.
REQ-ADM-002,라우팅 및 네비게이션,REQ-ADM-002-01,Auto Route 기반 라우팅,AutoRouter와 AppRouterConfig를 통해 선언적 라우팅을 관리한다.
REQ-ADM-002,라우팅 및 네비게이션,REQ-ADM-002-02,인증 가드,AuthGuard를 통해 인증되지 않은 사용자의 보호된 페이지 접근을 차단한다.
REQ-ADM-002,라우팅 및 네비게이션,REQ-ADM-002-03,대시보드 네비게이션,로그인 후 대시보드로 자동 이동하며 인증 실패 시 로그인 페이지로 리다이렉트한다.
REQ-ADM-003,대시보드 레이아웃,REQ-ADM-003-01,사이드바 메뉴,좌측 사이드바에 회원 관리 버전 관리 키워드 관리 메뉴를 제공한다.
REQ-ADM-003,대시보드 레이아웃,REQ-ADM-003-02,메뉴 선택 상태,현재 선택된 메뉴를 시각적으로 강조하고 메뉴 클릭 시 해당 페이지를 표시한다.
REQ-ADM-003,대시보드 레이아웃,REQ-ADM-003-03,상단 헤더,현재 페이지 제목과 사용자 프로필 아이콘을 표시하는 상단 헤더를 제공한다.
REQ-ADM-003,대시보드 레이아웃,REQ-ADM-003-04,메인 콘텐츠 영역,선택된 메뉴에 따라 회원 관리 버전 관리 키워드 관리 페이지를 동적으로 표시한다.
REQ-ADM-004,회원 관리,REQ-ADM-004-01,회원 목록 조회,UserService를 통해 서버에서 회원 목록을 조회하고 페이지네이션을 지원한다.
REQ-ADM-004,회원 관리,REQ-ADM-004-02,회원 생성,UserCreateRequest를 통해 새로운 회원을 생성한다. 이메일 닉네임 역할을 입력받는다.
REQ-ADM-004,회원 관리,REQ-ADM-004-03,회원 수정,기존 회원의 정보(닉네임 역할 활성화 상태)를 수정할 수 있다.
REQ-ADM-004,회원 관리,REQ-ADM-004-04,회원 삭제,선택한 회원을 시스템에서 삭제할 수 있다. 삭제 전 확인 다이얼로그를 표시한다.
REQ-ADM-004,회원 관리,REQ-ADM-004-05,회원 역할 관리,UserRole(USER ADMIN SUPER_ADMIN) 중 하나로 회원의 권한을 설정한다.
REQ-ADM-004,회원 관리,REQ-ADM-004-06,회원 활성화 상태 관리,회원의 활성화/비활성화 상태를 토글할 수 있다.
REQ-ADM-005,버전 관리,REQ-ADM-005-01,앱 버전 목록 조회,VersionService를 통해 등록된 앱 버전 목록을 조회하고 표시한다.
REQ-ADM-005,버전 관리,REQ-ADM-005-02,새 버전 등록,새로운 앱 버전을 등록한다. 버전 번호 플랫폼 최소 지원 버전 앱 상태를 입력받는다.
REQ-ADM-005,버전 관리,REQ-ADM-005-03,버전 정보 수정,기존 버전의 릴리스 노트 다운로드 URL API 도메인 등을 수정한다.
